image,mask
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0026.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0026.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0027.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0027.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0028.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0028.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0029.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0029.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0030.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0030.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0031.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0031.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0032.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0032.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0033.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0033.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0037.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0037.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0039.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0039.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0040.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0040.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0041.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0041.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0042.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0042.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0043.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0043.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0044.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0044.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0045.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0045.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0047.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0047.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0048.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0048.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0049.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0049.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0051.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0051.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0052.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0052.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0053.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0053.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0054.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0054.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0055.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0055.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0056.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0056.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0057.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0057.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0058.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0058.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0059.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0059.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0060.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0060.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0061.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0061.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0062.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0062.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0063.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0063.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0065.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0065.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0066.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0066.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0067.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0067.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0068.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0068.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0069.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0069.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0070.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0070.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0071.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0071.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0072.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0072.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0073.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0073.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0074.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0074.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0076.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0076.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0077.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0077.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0078.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0078.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0079.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0079.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0080.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0080.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0081.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0081.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0082.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0082.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0083.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0083.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0084.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0084.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0085.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0085.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0086.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0086.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0087.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0087.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0088.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0088.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0091.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0091.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0092.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0092.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0093.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0093.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0094.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0094.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0096.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0096.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0097.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0097.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0099.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0099.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0100.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0100.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0101.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0101.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0102.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0102.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0104.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0104.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0105.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0105.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0106.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0106.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0107.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0107.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0108.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0108.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0109.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0109.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0110.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0110.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0111.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0111.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0112.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0112.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0113.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0113.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0115.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0115.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0117.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0117.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0118.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0118.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0120.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0120.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0121.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0121.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0123.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0123.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0124.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0124.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0125.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0125.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0126.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0126.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0128.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0128.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0129.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0129.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0131.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0131.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0132.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0132.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0134.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0134.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0135.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0135.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0136.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0136.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0137.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0137.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0138.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0138.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0139.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0139.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0140.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0140.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0141.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0141.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0142.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0142.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0144.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0144.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0145.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0145.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0147.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0147.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0148.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0148.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0149.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0149.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0150.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0150.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0151.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0151.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0152.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0152.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0155.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0155.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0156.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0156.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0157.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0157.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0158.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0158.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0159.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0159.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0162.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0162.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0163.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0163.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0164.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0164.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0165.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0165.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0166.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0166.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0167.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0167.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0168.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0168.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0169.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0169.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0170.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0170.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0171.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0171.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0173.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0173.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0174.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0174.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0175.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0175.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0176.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0176.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0177.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0177.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0178.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0178.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0179.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0179.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0181.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0181.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0182.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0182.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0183.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0183.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0184.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0184.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0185.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0185.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0187.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0187.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0188.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0188.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0191.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0191.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0192.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0192.tif
